 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Head],,,,,,,,,,,,,,,,,,,,,,,,,,,
NumFrames,NumSegments,DataFrameRate,EulerRotationOrder,BoneAxis,TranslationUnits,,,,,,,,,,,,,,,,,,,,,,
2015,1,90,ZYX,X,mm,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[SegmentNames&Hierarchy],,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Parent,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
[SegmentData],,,,,,,,,,,,,,,,,,,,,,,,,,,
 Frame# ,,Segment1,,,,,,,,,,,,,,,,,,,,,,,,,
,Timestamp,XToGlobal1,YToGlobal1,ZToGlobal1,VxToGlobal1,VyToGlobal1,VzToGlobal1,VrToGlobal1,AxToGlobal1,AyToGlobal1,AzToGlobal1,ArToGlobal1,QxToGlobal1,QyToGlobal1,QzToGlobal1,QwToGlobal1,ExToGlobal1,EyToGlobal1,EzToGlobal1,EVxToGlobal1,EVyToGlobal1,EVzToGlobal1,EAxToGlobal1,EAyToGlobal1,EAzToGlobal1,Segmentlength1,
60,1.7643E+12,-1189.636963,-103.809235,-166.204956,40.594482,28.472099,24.583969,55.343872,-767.285156,3363.732178,-841.81366,3551.347656,-0.086644,-0.014156,0.143998,0.985676,-10.071918,-0.169195,16.638025,-15.842656,-1.967503,3.402462,-1783.199097,62.151237,794.896667,93.047661, 
61,1.7643E+12,-1189.008667,-103.835686,-166.182953,46.439209,22.38945,10.943756,52.703449,1819.335938,-4458.608887,-1613.424683,5078.61377,-0.084998,-0.014063,0.143426,0.985904,-9.882882,-0.19181,16.57089,-4.368024,-1.828776,0.888181,3848.632812,-37.180431,-1247.467285,93.047661, 
62,1.7643E+12,-1188.179688,-104.292183,-165.636658,65.577393,-21.732674,25.573425,73.666161,1625.537109,-3483.373291,4246.765137,5728.112793,-0.081066,-0.011743,0.144523,0.986105,-9.396925,0.015538,16.674467,30.374708,8.312982,1.6399,2405.058838,1862.696899,1382.776855,93.047661, 
63,1.7643E+12,-1187.766357,-104.314461,-165.330887,55.903931,-21.544876,38.342972,71.130966,-3366.760254,3517.176758,-1948.246826,5244.165527,-0.078931,-0.012824,0.142782,0.986519,-9.171888,-0.158322,16.483477,31.994743,1.506938,-3.93361,-2113.452637,-3087.784668,-2386.008789,93.047661, 
64,1.7643E+12,-1187.490723,-103.873657,-165.456985,31.003418,18.833656,8.085251,37.165707,-1115.332031,3750.958984,-3498.143066,5248.872559,-0.083766,-0.014288,0.144218,0.985891,-9.746576,-0.229837,16.664242,-15.734282,-11.041886,-0.460143,-6477.771973,828.996338,3011.23291,93.047661, 
65,1.7643E+12,-1186.578857,-104.091263,-165.089966,53.4375,10.043907,10.841446,55.443516,5153.466797,-5333.11377,3994.258057,8423.444336,-0.080244,-0.012768,0.144222,0.986204,-9.320509,-0.116807,16.649391,-6.687955,1.868174,7.466166,8106.11084,1494.814575,-1584.497559,93.047661, 
66,1.7643E+12,-1186.202393,-103.710373,-165.185776,57.974854,7.347794,12.204437,59.699432,-4336.743164,4847.813477,-3748.919678,7507.531738,-0.080468,-0.013027,0.145104,0.986053,-9.350457,-0.133926,16.75366,17.825348,4.316018,4.023768,-3693.716064,-1054.202637,964.866028,93.047661, 
67,1.7643E+12,-1186.03833,-103.263649,-165.251465,24.32373,37.242622,-7.267456,45.071861,-1720.458984,533.255737,243.978882,1817.654175,-0.084341,-0.014494,0.146052,0.985569,-9.815882,-0.225326,16.878057,-22.291744,-4.88333,10.289947,-3527.360596,-601.679993,163.045929,93.047661, 
68,1.7643E+12,-1185.492065,-103.010002,-165.374176,31.964722,31.516685,-8.478012,45.682838,3095.837402,-1563.924438,-461.878967,3499.057129,-0.086485,-0.013755,0.146051,0.985393,-10.047359,-0.105782,16.870861,-31.360617,1.266479,5.274089,1894.963257,1708.645508,-1065.900146,93.047661, 
69,1.7643E+12,-1184.832031,-103.137604,-165.014832,54.283447,5.672035,10.648499,55.608047,921.533203,-3088.112549,3904.650879,5062.801758,-0.085337,-0.013842,0.144992,0.985649,-9.917993,-0.145505,16.749323,-4.595015,3.591952,-5.792985,2922.845215,-1290.060303,-926.173279,93.047661, 
70,1.7643E+12,-1184.274658,-103.094093,-164.73439,54.783325,-3.784103,28.790359,62.003361,-831.555176,1386.00769,-639.115906,1738.093872,-0.084344,-0.014307,0.144592,0.985786,-9.812747,-0.21864,16.707718,10.557579,-5.078622,-7.341416,-195.378189,-270.643036,647.455627,93.047661, 
71,1.7643E+12,-1183.874512,-102.605598,-164.637329,43.088379,23.940239,16.98761,52.137531,-1273.535156,3604.374023,-1485.379028,4101.189453,-0.086665,-0.014999,0.145225,0.985482,-10.088676,-0.251567,16.788309,-7.680757,-4.772812,1.754313,-3087.522217,325.688843,989.775635,93.047661, 
72,1.7643E+12,-1181.157593,-103.529182,-164.211105,140.267944,-19.57901,23.547821,143.572052,18765.85742,-11437.83887,2666.217041,22137.98242,-0.078685,-0.011951,0.149742,0.985517,-9.12971,0.000483,17.279181,30.736645,9.860519,25.715736,10002.6543,2308.310791,3323.280762,93.047661, 
73,1.7643E+12,-1182.627441,-102.704491,-164.170288,56.118164,-4.45015,21.016846,60.0896,-33912.81641,14161.0332,-3121.79248,36883.05469,-0.083025,-0.014589,0.143618,0.986036,-9.667151,-0.282001,16.597731,18.96863,-1.369515,-8.576039,-12120.89746,-4329.717285,-9495.800781,93.047661, 
